# NFAP Frequency Allocation Data
# Source: Indian Frequency Allocation Chart
# Country: India
# Last Updated: 2025-01-01
""
Band Name,Band Start Freq (Hz),Band End Freq (Hz),Allocation Start Freq (Hz),Allocation End Freq (Hz),Frequency Range (Readable),Service,Priority,Usage,Amateur Band,Level,Region Specific
MF - Medium Frequency (415 kHz - 0 MHz),415000,526500,415000,526500,415.000 kHz - 526.500 kHz,AERONAUTICAL RADIONAVIGATION 5.80,primary,Aircraft navigation,,Aeronautical,
MF - Medium Frequency (415 kHz - 0 MHz),415000,526500,415000,526500,415.000 kHz - 526.500 kHz,MARITIME MOBILE,primary,Marine communication,,Radionavigation,
MF - Medium Frequency (415 kHz - 0 MHz),415000,526500,415000,526500,415.000 kHz - 526.500 kHz,AERONAUTICAL RADIONAVIGATION,primary,Aircraft navigation,,Radionavigation,
MF - Medium Frequency (415 kHz - 0 MHz),415000,526500,415000,526500,415.000 kHz - 526.500 kHz,MARITIME MOBILE,primary,Marine communication,,Radionavigation,
MF - Medium Frequency (415 kHz - 0 MHz),415000,526500,415000,526500,415.000 kHz - 526.500 kHz,MARITIME MOBILE,primary,Marine communication,,Radionavigation,
MF - Medium Frequency (415 kHz - 0 MHz),415000,526500,415000,526500,415.000 kHz - 526.500 kHz,AMATEUR,primary,Amateur radio services,,Radionavigation,
MF - Medium Frequency (415 kHz - 0 MHz),415000,526500,415000,526500,415.000 kHz - 526.500 kHz,AMATEUR,primary,Amateur radio services,,Radionavigation,
MF - Medium Frequency (415 kHz - 0 MHz),415000,526500,415000,526500,415.000 kHz - 526.500 kHz,AERONAUTICAL RADIONAVIGATION 5.80,primary,Aircraft navigation,,Radionavigation,
MF - Medium Frequency (415 kHz - 0 MHz),415000,526500,415000,526500,415.000 kHz - 526.500 kHz,MARITIME MOBILE,primary,Marine communication,,5.80B   5.82,
MF - Medium Frequency (415 kHz - 0 MHz),415000,526500,415000,526500,415.000 kHz - 526.500 kHz,MARITIME MOBILE 5.79A,primary,Marine communication,,5.80B   5.82,
MF - Medium Frequency (415 kHz - 0 MHz),415000,526500,415000,526500,415.000 kHz - 526.500 kHz,MARITIME MOBILE 5.79A,primary,Marine communication,,5.80B   5.82,
MF - Medium Frequency (415 kHz - 0 MHz),415000,526500,415000,526500,415.000 kHz - 526.500 kHz,AERONAUTICAL RADIONAVIGATION 5.80,primary,Aircraft navigation,,5.79   5.79A,
MF - Medium Frequency (415 kHz - 0 MHz),415000,526500,415000,526500,415.000 kHz - 526.500 kHz,AERONAUTICAL RADIONAVIGATION,primary,Aircraft navigation,,Aeronautical Radionavigation   5.77   Ind 1,
MF - Medium Frequency (415 kHz - 0 MHz),415000,526500,415000,526500,415.000 kHz - 526.500 kHz,MARITIME MOBILE,primary,Marine communication,,Aeronautical Radionavigation   5.77   Ind 1,
MF - Medium Frequency (415 kHz - 0 MHz),415000,526500,415000,526500,415.000 kHz - 526.500 kHz,MARITIME MOBILE,primary,Marine communication,,Aeronautical Radionavigation   5.77   Ind 1,
MF - Medium Frequency (415 kHz - 0 MHz),415000,526500,415000,526500,415.000 kHz - 526.500 kHz,MARITIME MOBILE,primary,Marine communication,,Aeronautical Radionavigation   5.77   Ind 1,
MF - Medium Frequency (415 kHz - 0 MHz),415000,526500,415000,526500,415.000 kHz - 526.500 kHz,MARITIME MOBILE .79,primary,Marine communication,,Aeronautical Radionavigation   5.77   Ind 1,
MF - Medium Frequency (415 kHz - 0 MHz),415000,526500,415000,526500,415.000 kHz - 526.500 kHz,MARITIME MOBILE,primary,Marine communication,,Aeronautical Radionavigation   5.77   Ind 1,
MF - Medium Frequency (415 kHz - 0 MHz),415000,526500,415000,526500,415.000 kHz - 526.500 kHz,MARITIME MOBILE,primary,Marine communication,,Aeronautical Radionavigation   5.77   Ind 1,
MF - Medium Frequency (415 kHz - 0 MHz),415000,526500,415000,526500,415.000 kHz - 526.500 kHz,MARITIME MOBILE,primary,Marine communication,,Aeronautical,
MF - Medium Frequency (415 kHz - 0 MHz),415000,526500,415000,526500,415.000 kHz - 526.500 kHz,AERONAUTICAL MOBILE,primary,Aircraft communication,,Aeronautical,
MF - Medium Frequency (415 kHz - 0 MHz),415000,526500,415000,526500,415.000 kHz - 526.500 kHz,AERONAUTICAL MOBILE,primary,Aircraft communication,,Aeronautical,
MF - Medium Frequency (415 kHz - 0 MHz),415000,526500,415000,526500,415.000 kHz - 526.500 kHz,LAND MOBILE,primary,Mobile communication services,,Radionavigation,
MF - Medium Frequency (415 kHz - 0 MHz),415000,526500,415000,526500,415.000 kHz - 526.500 kHz,LAND MOBILE,primary,Mobile communication services,,Radionavigation,
MF - Medium Frequency (415 kHz - 0 MHz),415000,526500,415000,526500,415.000 kHz - 526.500 kHz,BROADCASTING,primary,Broadcasting services,,Radionavigation,
MF - Medium Frequency (415 kHz - 0 MHz),415000,526500,415000,526500,415.000 kHz - 526.500 kHz,BROADCASTING,primary,Broadcasting services,,Aeronautical,
MF - Medium Frequency (415 kHz - 0 MHz),415000,526500,415000,526500,415.000 kHz - 526.500 kHz,BROADCASTING,primary,Broadcasting services,,Radionavigation,
MF - Medium Frequency (415 kHz - 0 MHz),415000,526500,415000,526500,415.000 kHz - 526.500 kHz,BROADCASTING   IND,primary,Broadcasting services,,Radionavigation,
MF - Medium Frequency (415 kHz - 0 MHz),415000,526500,415000,526500,415.000 kHz - 526.500 kHz,MOBILE,primary,Mobile communication services,,Radionavigation,
